54,197
57,9
58,13
60,252615
61,473
62,812
63,174
64,543
65,68
66,65734
67,13914
68,48
69,59
70,1172
71,143
72,723
73,1855
74,2067
75,640
76,560
77,972
78,12802
79,375
80,457
81,536
82,1821
83,471
84,454
85,827
86,386
87,378
88,389
89,4810
90,169
91,16918
92,712
93,173
94,242
95,1177
96,770
97,726
98,380
99,616
100,414
101,372
102,1061
103,3473
104,191
105,202
106,3289
107,750
108,99
109,334
110,233
111,204
112,107
113,377
114,644
115,264
116,93
117,1550
118,64
119,155
120,77
121,91
122,162
123,605
124,250
125,176
126,115
127,154
128,138
129,722
130,313
131,829
132,82
133,99
134,432
135,329
136,54
137,88
138,10240
139,715
140,451
141,88
142,2032
143,111
144,234
145,62
146,92
147,221
148,64
149,67
150,217
151,75
152,120
153,106
154,184
155,2198
156,309
157,56
158,85
159,299
160,373
161,60
162,40
163,111
164,102
165,188
166,181
167,84438
168,61
169,82
170,86
171,1488
172,338
173,58
174,84
175,650
176,107
177,127
178,74
179,178
180,88
181,74
182,314
183,684
184,76
185,72
186,84
187,608
188,149
189,123
190,82
191,91
192,107
193,80
194,79
195,343
196,58
197,55
198,93
199,442
200,107
201,86
202,86
203,140
204,150
205,55
206,107
207,143
208,83
209,74
210,396
211,80
212,56
213,51
214,2452
215,322
216,117
217,297
218,239
219,1113
220,63
221,71
222,55
223,119
224,55
225,53
226,77
227,65
228,68
229,74
230,63
231,56
232,34
233,87
234,91
235,989
236,144
237,76
238,64
239,146
240,180
241,75
242,115
243,131
244,125
245,78
246,70
247,677
248,87
249,183
250,72
251,498
252,206
253,59
254,66
255,162
256,52
257,62
258,105
259,94
260,88
261,119
262,156
263,76
264,389
265,25006
266,93
267,499
268,139
269,76
270,42
271,150
272,59
273,97
274,37
275,60
276,53
277,63
278,94
279,140
280,198
281,76
282,62
283,338
284,179
285,178
286,77
287,114
288,116
289,56
290,66
291,91
292,92
293,56
294,62
295,86
296,112
297,49
298,104
299,226
300,52
301,42
302,145
303,65
304,194
305,37
306,44
307,58
308,65
309,41
310,76
311,115
312,49
313,36
314,58
315,181
316,112
317,42
318,41
319,59
320,209
321,93
322,62
323,90
324,87
325,37
326,56
327,52
328,38
329,78
330,59
331,134
332,144
333,44
334,278
335,55
336,82
337,31
338,38
339,100
340,45
341,87
342,90
343,73
344,20
345,38
346,33
347,204
348,422
349,25
350,23
351,51
352,54
353,36
354,30
355,885
356,45
357,41
358,83
359,201
360,71
361,75
362,312
363,155
364,186
365,172
366,158
367,57
368,96
369,26
370,32
371,44
372,51
373,37
374,75
375,67
376,85
377,33
378,53
379,73
380,220
381,41
382,40
383,90
384,187
385,40
386,402
387,45
388,40
389,32
390,42
391,89
392,127
393,39
394,40
395,626
396,79
397,42
398,84
399,55
400,47
401,53
402,83
403,45
404,71
405,34
406,42
407,92
408,53
409,62
410,28
411,80
412,48
413,37
414,71
415,42
416,61
417,26
418,65
419,56
420,52
421,28
422,58
423,74
424,71
425,46
426,61
427,96
428,91
429,33
430,99
431,196
432,51
433,54
434,44
435,61
436,64
437,42
438,66
439,61
440,56
441,41
442,56
443,181
444,256
445,61
446,60
447,101
448,120
449,47
450,66
451,52
452,50
453,157
454,42
455,82
456,48
457,38
458,30
459,144
460,215
461,71
462,49
463,70
464,51
465,40
466,98
467,55
468,40
469,56
470,46
471,160
472,136
473,57
474,97
475,99
476,204
477,50
478,51
479,51
480,54
481,107
482,67
483,65
484,63
485,45
486,37
487,54
488,38
489,47
490,53
491,118
492,95
493,62
494,31
495,67
496,190
497,27
498,37
499,47
500,32
501,34
502,409
503,50
504,36
505,34
506,45
507,214
508,28
509,273
510,32
511,58
512,50
513,38
514,39
515,40
516,35
517,27
518,36
519,119
520,38
521,82
522,63
523,112
524,29
525,52
